City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
6,Rikitea,PF,72.93,clear sky,-23.1203,-134.9692,People ThankYou
7,Namie,JP,76.71,overcast clouds,37.4833,141.0,いこいの村なみえ
22,Atuona,PF,77.72,few clouds,-9.8,-139.0333,Villa Enata
31,Foundiougne,SN,77.77,broken clouds,14.1333,-16.4667,Cap Marniane
43,Monrovia,LR,76.91,moderate rain,6.3005,-10.7969,Sunset Inn
45,Chumphon,TH,73.51,overcast clouds,10.3333,98.8333,สกาน จ๋า.
54,Lancaster,US,73.65,clear sky,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
56,Uhlove,UA,71.56,overcast clouds,44.8215,33.6045,Tavryda
65,Baffa,PK,78.85,overcast clouds,34.4378,73.2194,Kisan veternary store Baffa
72,Jiangyou,CN,74.16,light rain,31.7667,104.7167,Shangping Shuyuan Inn
74,Sao Cristovao,BR,76.91,broken clouds,-11.0147,-37.2064,Vó Nazinha Hostel
75,Myitkyina,MM,76.19,moderate rain,25.3833,97.4,Shwe Phyu Hotel
76,Puerto Narino,CO,78.75,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
89,Mandalgovi,MN,77.02,scattered clouds,45.7625,106.2708,В.Ганбат
90,Yarmouth,US,76.44,mist,41.7057,-70.2286,Blue Rock Resort
92,Buala,SB,77.7,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
97,Jamestown,US,72.99,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
99,Cabinda,AO,72.95,scattered clouds,-5.55,12.2,Hotel Maiombe
109,Fomboni,KM,76.64,clear sky,-12.28,43.7425,Auberge les abou
110,Solnechnyy,RU,73.36,scattered clouds,50.7214,136.6319,Hotel complex Pastoral
111,Kitimat,CA,75.58,clear sky,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
112,Alofi,NU,71.49,heavy intensity drizzle,-19.0595,-169.9187,Taloa Heights
